Symbol,Dividend,DividendPct,EPS,MarketCap,PE
ACH,,,-1.65,5160000000.0,
ACHC,,,0.58,1980000000.0,67.72
ACHN,,,-0.69,234840000.0,
ACI,0.12,3.0,-1.87,882920000.0,
ACIW,,,1.35,2210000000.0,41.49
ACLS,,,-0.34,248210000.0,
ACM,,,-0.6,3220000000.0,
ACMP,1.94,3.9,1.11,8890000000.0,45.2
ACN,1.86,2.5,4.93,47740000000.0,15.07
ACNB,0.76,4.4,1.55,101680000.0,10.95
ACO,0.8,2.4,0.57,1050000000.0,57.01
ACOR,,,3.56,1310000000.0,9.24
ACPW,,,-0.06,57470000.0,
ACRE,1.0,7.8,0.43,344950000.0,29.19
ACRX,,,-1.61,304940000.0,
ACST,,,-0.12,175420000.0,
ACT,,,-4.38,19420000000.0,
ACTG,0.5,3.2,-0.28,756790000.0,
ACTS,,,0.0,169020000.0,
ACTV,,,-0.66,898030000.0,
ACUR,,,-0.26,80440000.0,
ACW,,,-4.13,225220000.0,
ACWI,,,15.0,,
ACWX,,,13.0,,
ACXM,,,0.75,2450000000.0,44.05
ADAT,,,-0.45,45970000.0,
ADBE,,,0.88,26960000000.0,61.56
ADC,1.64,5.1,1.5,414130000.0,21.31
ADEP,,,-0.99,89140000.0,
ADES,,,-1.47,377130000.0,
ADHD,,,-0.28,190510000.0,
ADI,1.36,2.9,2.1,14750000000.0,22.62
ADM,0.76,1.9,1.79,26260000000.0,22.26
ADNC,,,0.64,261370000.0,18.97
ADP,1.74,2.4,2.89,36540000000.0,26.18
ADRA,,,12.0,,818.0
ADRD,,,13.0,,
ADRE,,,,,
ADRU,,,13.0,,
ADS,,,6.9,11380000000.0,33.84
ADSK,,,0.96,8850000000.0,41.37
ADT,0.5,1.2,1.83,8800000000.0,22.86
ADTN,0.36,1.5,0.62,1380000000.0,38.3
ADUS,,,1.96,275210000.0,13.05
ADVS,,,0.46,1780000000.0,73.73
ADX,0.2,1.6,2.07,1200000000.0,6.25
ADXS,,,-3.91,43960000.0,
AEB,,,0.63,42590000000.0,33.41
AEC,0.76,4.9,0.78,775980000.0,19.74
AED,,,0.63,49000000000.0,38.43
AEE,1.6,4.4,-3.43,8860000000.0,
AEF,,,0.63,51160000000.0,40.13
AEG,0.25,3.1,0.63,15920000000.0,12.49
AEGN,,,1.28,900940000.0,18.57
AEGR,,,-2.73,2610000000.0,
AEHR,,,-0.34,28050000.0,
AEIS,,,0.19,778930000.0,101.93
AEK,,,0.63,55770000000.0,43.74
AEL,0.15,0.7,2.55,1360000000.0,8.28
AEM,0.88,2.9,0.75,5450000000.0,41.93
AEO,0.5,3.5,1.11,2900000000.0,13.59
AEP,2.0,4.2,2.38,23010000000.0,19.88
AEPI,,,2.75,350290000.0,22.73
AER,,,1.78,2380000000.0,11.78
AES,0.16,1.1,-1.54,10640000000.0,
AET,0.8,1.3,5.02,22990000000.0,12.32
AETI,,,0.4,65069999.99999999,20.17
AEV,,,0.63,49930000000.0,39.16
AEY,,,0.17,26290000.0,15.47
AEZS,,,-0.1,43110000.0,
AF,0.16,1.2,0.59,1310000000.0,22.92
AFA,,,5.49,2009999999.9999998,4.11
AFAM,,,1.45,177920000.0,13.24
AFB,0.87,6.7,1.11,376230000.0,11.76
AFCB,0.2,1.1,1.15,38480000.0,15.61
AFCE,,,1.38,1040000000.0,31.49
AFFX,,,-0.73,501710000.0,
AFG,0.88,1.6,5.49,5010000000.0,10.25
AFH,,,0.53,87350000.0,19.98
AFL,1.4,2.1,7.2,30910000000.0,9.23
AFM,,,4.77,1330000000.0,5.28
AFOP,0.13,0.6,0.97,367060000.0,20.89
AFQ,,,5.49,2290000000.0,4.7
AFSD,,,7.2,10700000000.0,3.2
AFSI,0.56,1.5,3.41,2880000000.0,11.36
AFW,,,5.49,2180000000.0,4.46
AG,,,0.63,1420000000.0,19.33
AGCO,0.4,0.6,5.35,6140000000.0,11.77
AGEN,,,-1.22,74950000.0,
AGI,0.2,1.2,0.79,2060000000.0,20.34
AGII,0.6,1.4,2.59,1140000000.0,16.59
AGIO,,,-9.18,778090000.0,
AGM,0.48,1.3,6.28,389920000.0,5.73
AGM-A,0.4,2.2,6.28,324930000.0,4.77
AGN,0.2,0.2,3.11,27720000000.0,30.04
AGNC,3.2,13.3,8.25,9460000000.0,2.89
AGNCP,,,8.25,10070000000.0,3.08
AGO,0.4,2.0,1.49,3810000000.0,13.96
AGRO,,,-0.01,1020000000.0,
AGU,3.0,3.5,9.02,12710000000.0,9.58
AGX,,,2.24,319450000.0,10.19
AGYS,,,0.08,263279999.99999997,143.49
AH,,,0.17,821430000.0,49.06
AHC,0.32,3.9,-0.14,181970000.0,
AHGP,3.14,5.3,3.56,3510000000.0,16.45
AHH,0.64,6.1,0.4,203510000.0,26.89
AHL,0.72,1.9,2.88,2640000000.0,13.61
AHPI,,,-0.16,19100000.0,
AHS,,,0.61,585080000.0,20.9
AHT,0.48,3.7,-1.0,1040000000.0,
AI,3.5,13.8,13.65,418610000.0,1.85
AIG,0.4,0.8,1.86,75930000000.0,27.64
AIMC,0.4,1.3,1.03,826430000.0,29.9
AIN,0.6,1.6,0.67,1170000000.0,54.85
AINV,0.8,9.3,0.65,1940000000.0,13.23
AIQ,,,-2.04,239110000.0,
AIR,0.3,1.0,1.38,1140000000.0,21.41
AIRM,,,1.6,1710000000.0,27.54
AIRT,0.3,2.7,0.57,27470000.0,19.74
AIT,0.92,1.8,2.78,2200000000.0,18.75
AIV,0.96,3.3,0.74,4269999999.9999995,39.51
AIW,,,13.65,365970000.0,1.62
AIXG,,,-1.66,1450000000.0,
AIY,,,0.65,4810000000.0,32.87
AIZ,1.0,1.7,5.11,4380000000.0,11.34
AJG,1.4,2.9,1.81,6050000000.0,26.26
AKAM,,,1.54,8189999999.999999,29.73
AKR,0.84,3.1,0.9,1520000000.0,30.43
AKRX,,,0.41,2009999999.9999998,50.93
AKS,,,-2.35,569910000.0,
AL,0.1,0.3,1.53,3100000000.0,19.95
ALB,0.96,1.4,3.43,5460000000.0,19.59
ALCO,0.48,1.2,1.0,284200000.0,38.91
ALCS,,,-0.17,45480000.0,
ALDW,2.84,20.6,0.44,854400000.0,30.86
ALE,1.9,3.7,2.7,2020000000.0,19.01
ALEX,0.16,0.4,0.74,1680000000.0,52.75
ALG,0.28,0.6,2.6,586660000.0,18.62
ALGN,,,0.38,4480000000.0,147.5
ALGT,,,4.67,1980000000.0,22.73
ALIM,,,-1.46,65709999.99999999,
ALJ,0.24,1.8,2.43,724400000.0,4.77
ALK,0.8,1.1,6.67,4880000000.0,10.52
ALKS,,,0.06,4900000000.0,564.22
ALL,1.0,1.9,4.68,24640000000.0,11.36
ALLB,0.2,1.4,0.36,71950000.0,41.25
ALLT,,,-0.57,432020000.0,
ALNY,,,-1.94,3760000000.0,
ALOG,0.4,0.4,2.48,1160000000.0,37.65
ALOT,0.28,2.3,1.22,91370000.0,10.07
ALR,,,-1.68,2630000000.0,
ALSK,,,1.25,117570000.0,2.01
ALSN,0.48,1.9,0.64,4690000000.0,39.1
ALTI,,,-1.27,52270000.0,
ALTR,0.6,1.8,1.43,10740000000.0,23.41
ALU,,,-1.41,7310000000.0,
ALV,2.0,2.2,5.47,8710000000.0,16.6
ALVR,,,-8.93,5370000.0,
ALX,11.0,3.5,129.85,1650000000.0,2.48
ALXA,,,-2.53,89100000.0,
ALXN,,,1.77,24300000000.0,70.25
AMAG,,,-0.45,571970000.0,
AMAP,,,0.52,762660000.0,29.15
AMAT,0.4,2.3,-0.37,21330000000.0,
AMBA,,,0.7,580630000.0,30.01
AMBC,,,17.78,933790000.0,1.17
AMBI,,,-1.85,285660000.0,
AMBT,,,-0.75,36990000.0,
AMCC,,,-1.61,844450000.0,
AMCF,,,0.16,12220000.0,7.92
AMCN,,,-0.53,106160000.0,
AMCX,,,3.45,5050000000.0,20.28
AMD,,,-0.86,2510000000.0,
AME,0.24,0.5,1.99,11260000000.0,23.18
AMED,,,-3.02,529380000.0,
AMG,,,4.77,10670000000.0,42.29
AMGN,1.88,1.6,6.3,89220000000.0,18.77
AMH,,,-0.73,2990000000.0,
AMIC,,,1.27,90730000.0,8.87
AMID,1.81,8.0,-3.8,214930000.0,
AMKR,,,0.35,1050000000.0,13.84
AMNB,0.92,4.0,2.1,183270000.0,11.07
AMOT,0.1,1.2,0.48,78910000.0,18.62
AMOV,0.34,1.6,1.8,77520000000.0,11.93
AMP,2.08,2.1,5.71,19570000000.0,17.33
AMRB,,,0.34,77510000.0,25.6
AMRC,,,0.18,481690000.0,58.99
AMRE,0.8,4.4,0.7,356440000.0,25.8
AMRI,,,0.13,402580000.0,98.56
AMRN,,,-0.93,371980000.0,
AMRS,,,-2.02,201910000.0,
AMSC,,,-1.21,146450000.0,
AMSF,0.32,0.8,1.76,727510000.0,22.52
AMSG,,,2.19,1390000000.0,19.7
AMSWA,0.4,4.4,0.32,246210000.0,28.33
AMT,1.12,1.4,1.6,31720000000.0,50.19
AMTD,0.36,1.3,1.12,15370000000.0,24.94
AMTG,1.6,10.2,1.74,504260000.0,9.05
AMWD,,,1.05,531919999.99999994,33.51
AMX,0.34,1.6,1.8,77660000000.0,11.95
AMZN,,,0.28,164040000000.0,
AN,,,2.74,5940000000.0,17.81
ANAC,,,-1.59,505760000.0,
ANAD,,,-0.89,167680000.0,
ANAT,3.08,3.1,9.05,2720000000.0,11.27
ANCB,,,-0.22,43200000.0,
ANCI,,,-0.76,10110000.0,
ANCX,0.44,3.0,1.56,152440000.0,9.47
ANDA,,,0.17,16000000.0,60.84
ANDE,0.64,0.9,3.93,1380000000.0,18.8
ANEN,,,1.13,329840000.0,23.12
ANF,0.8,2.2,3.02,2800000000.0,12.14
ANFI,,,0.7,486980000.0,19.42
ANGI,,,-0.57,843120000.0,
ANGO,,,-0.01,552640000.0,
ANH,0.48,9.4,0.6,730570000.0,8.5
ANIK,,,1.05,368740000.0,25.96
ANIP,,,-1.68,97030000.0,
ANN,,,2.08,1550000000.0,16.53
ANR,,,-2.13,1460000000.0,
ANSS,,,2.25,8119999999.999999,39.02
ANTH,,,-2.76,67090000.0,
ANW,0.04,0.4,0.51,467700000.0,19.3
AOI,,,0.2,262920000.00000003,15.15
AOL,,,1.28,2810000000.0,28.65
AON,0.7,0.9,3.33,24080000000.0,23.47
AOS,0.48,1.1,1.68,4690000000.0,30.08
AOSL,,,-0.22,203530000.0,
AP,0.72,4.2,0.58,182370000.0,30.34
APA,0.8,0.9,6.41,35190000000.0,14.09
APAGF,,,-0.22,466930000.0,
APAM,1.72,3.0,1.1,857930000.0,54.59
APC,0.72,0.7,3.39,48550000000.0,28.5
APD,2.84,2.5,4.69,22960000000.0,23.38
APEI,,,2.57,695390000.0,15.31
APFC,,,3.97,397880000.0,12.61
APH,0.8,1.0,3.74,12810000000.0,21.59
APL,2.48,6.4,-0.99,2930000000.0,
APO,0.28,0.8,3.64,4680000000.0,9.08
APOG,0.36,1.1,0.78,906500000.0,40.42
APOL,,,2.19,3170000000.0,12.76
APPY,,,-1.06,39480000.0,
APRI,,,-1.1,73600000.0,
APSA,1.98,8.5,2.2,694330000.0,10.02
APU,3.36,7.5,1.84,4160000000.0,24.32
APWC,,,0.5,48370000.0,6.99
AQU,,,-2.19,23470000.0,
AQUUU,,,,67710000.0,
AR,,,-0.32,14830000000.0,
ARAY,,,-1.41,525179999.99999994,
ARC,,,-0.55,288550000.0,
ARCI,,,-0.4,16120000.000000002,
ARCP,0.91,6.7,-1.37,2520000000.0,
ARCW,,,0.55,67000000.0,20.61
ARDNA,1.0,0.8,6.61,399200000.0,19.66
ARE,2.72,4.0,1.25,4800000000.0,53.94
AREX,,,0.11,1150000000.0,277.45
ARG,1.92,1.8,4.58,7930000000.0,23.58
ARI,1.6,9.8,1.28,605990000.0,12.8
ARIA,,,-1.42,760790000.0,
ARII,1.0,2.3,3.75,864330000.0,10.8
ARKR,1.0,4.7,1.27,68980000.0,16.8
ARL,,,0.2,58290000.0,26.46
ARLP,4.61,6.0,6.68,2810000000.0,11.37
ARMH,0.18,0.4,0.53,21790000000.0,89.03
ARNA,,,-0.08,1040000000.0,
ARO,,,-0.28,747970000.0,
AROW,0.98,3.7,1.75,328690000.0,15.2
ARP,2.24,10.9,-1.15,1210000000.0,
ARPI,,,-0.71,560560000.0,
ARQL,,,-0.29,146140000.0,
ARRS,,,-0.27,2280000000.0,
ARRY,,,-0.57,638330000.0,
ARSD,,,0.65,228840000.0,14.6
ARTC,,,0.63,1060000000.0,59.46
ARTNA,0.84,3.7,0.99,199200000.0,22.91
ARTW,0.1,1.7,0.48,22760000.0,11.85
ARTX,,,0.18,27530000.0,9.94
ARUN,,,-0.28,2120000000.0,
ARW,,,4.14,4820000000.0,11.62
ARWR,,,-1.32,241590000.0,
ARX,,,-1.23,673590000.0,
ASA,0.06,0.4,-7.55,281810000.0,
ASBB,,,0.25,83590000.0,69.47
ASBC,0.36,2.2,1.08,2720000000.0,15.32
ASBI,0.04,0.3,0.73,41030000.0,18.81
ASC,,,-0.22,237520000.0,
ASCMA,,,-0.96,1200000000.0,
ASDR,,,9.0,,
ASEI,2.0,3.0,2.22,521340000.00000006,29.95
ASFI,,,0.17,111520000.0,49.43
ASGN,,,1.22,1840000000.0,28.01
ASH,1.36,1.5,0.03,7110000000.0,
ASIA,,,-3.4,846820000.0,
ASMI,0.55,1.6,29.24,2150000000.0,1.16
ASML,0.6,0.6,2.45,41790000000.0,38.47
ASNA,,,0.93,3130000000.0,21.46
ASPS,,,4.97,3300000000.0,29.03
ASR,3.26,2.7,0.6,37030000000.0,205.05
ASRV,0.04,1.2,0.2,59730000.0,15.98
ASTC,,,-0.01,29020000.0,
ASTE,0.4,1.2,1.77,773250000.0,19.17
ASTI,,,-0.64,48730000.0,
ASUR,,,-0.67,30940000.0,
ASX,0.14,2.8,0.31,7430000000.0,16.06
ASYS,,,-3.42,76120000.0,
AT,0.38,7.5,-0.52,574550000.0,
ATAI,,,0.19,96440000.0,21.58
ATAX,0.5,7.2,0.37,301110000.0,19.03
ATE,0.2,1.5,-0.58,2270000000.0,
ATEA,,,-0.79,10940000.0,
ATEC,,,-0.16,187060000.0,
ATHL,,,0.65,2700000000.0,50.69
ATHN,,,-0.14,5130000000.0,
ATHX,,,-0.48,99220000.0,
ATI,0.72,2.1,-0.08,3590000000.0,
ATK,1.04,0.9,8.42,3520000000.0,13.05
ATLC,,,1.43,49710000.0,2.53
ATLO,0.64,2.8,1.51,213660000.0,15.17
ATLS,1.84,3.8,-0.92,2560000000.0,
ATMI,,,1.19,873080000.0,23.04
ATML,,,-0.06,2860000000.0,
ATNI,1.08,1.9,2.98,878910000.0,18.8
ATNY,,,-0.23,168380000.0,
ATO,1.4,3.2,2.66,4040000000.0,16.79
ATOS,,,-0.46,28040000.0,
ATR,1.0,1.6,2.45,4250000000.0,26.19
ATRC,,,-0.46,266660000.00000003,
ATRI,2.56,1.0,12.49,535289999.99999994,21.36
ATRM,,,-7.21,4370000.0,
ATRO,,,1.6,719480000.0,29.65
ATRS,,,-0.14,525159999.99999994,
ATSG,,,0.6,510260000.0,13.06
ATTU,,,0.05,110570000.0,202.71
ATU,0.04,0.1,0.4,2780000000.0,94.26
ATV,,,-0.9,56890000.0,
ATVI,0.19,1.1,1.19,19370000000.0,14.53
ATW,,,5.2,3470000000.0,10.43
ATX,,,0.66,254580000.0,29.14
AU,0.21,1.3,-5.95,6330000000.0,
AUBN,0.84,3.3,1.94,93810000.0,13.31
AUDC,,,-0.01,269460000.0,
AUO,,,-1.08,2950000000.0,
AUQ,0.16,3.7,-0.28,1080000000.0,
AUXL,,,2.61,855270000.0,6.65
AUY,0.26,2.5,0.43,7690000000.0,23.77
AV,0.35,2.4,-2.11,20810000000.0,
AVA,1.22,4.4,1.5,1680000000.0,18.67
AVAV,,,0.21,594420000.0,128.51
AVB,4.28,3.3,1.85,16700000000.0,69.78
AVD,0.2,0.7,1.55,767910000.0,17.3
AVEO,,,-2.51,110560000.0,
AVG,,,1.28,1230000000.0,17.6
AVGO,0.92,2.0,2.15,11260000000.0,21.17
AVHI,,,-6.29,246350000.0,
AVID,,,-1.81,261970000.00000003,
AVIV,1.44,5.6,0.03,955340000.0,914.29
AVNR,,,-0.37,701160000.0,
AVNW,,,-0.25,135980000.0,
AVP,0.24,1.1,-0.26,9750000000.0,
AVT,0.6,1.5,3.37,5410000000.0,11.67
AVX,0.35,2.5,0.59,2330000000.0,23.31
AVY,1.16,2.4,2.1,4760000000.0,22.84
AWAY,,,0.24,2540000000.0,124.04
AWC,,,-0.1,2690000000.0,
AWF,1.2,7.9,2.32,1310000000.0,6.58
AWH,2.0,1.9,6.76,3650000000.0,15.99
AWI,,,1.72,3310000000.0,32.48
AWK,1.12,2.6,2.06,7560000000.0,20.6
AWR,0.81,2.9,1.52,1110000000.0,18.87
AWRE,,,0.82,123010000.0,6.64
AXAS,,,-0.24,278930000.0,
AXDX,,,-0.44,510040000.0,
AXE,,,4.45,2800000000.0,19.33
AXFN,,,12.0,,
AXGN,,,-1.19,73010000.0,
AXJS,,,12.0,,877.0
AXL,,,4.53,1420000000.0,4.18
AXLL,0.64,1.5,2.81,2870000000.0,14.63
AXP,0.92,1.1,4.23,88880000000.0,19.57
AXR,,,-0.48,58470000.0,
AXS,1.0,2.1,4.85,5370000000.0,9.69
AXTI,,,-0.14,70520000.0,
AYI,0.52,0.5,2.95,4360000000.0,34.83
AYR,0.66,3.4,0.57,1550000000.0,33.46
AZN,1.8,3.4,3.92,66930000000.00001,13.64
AZO,,,27.79,14740000000.0,15.47
AZPN,,,0.47,3260000000.0,74.38
AZZ,0.56,1.3,2.32,1130000000.0,19.16
B,0.44,1.2,4.97,1890000000.0,7.17
BA,1.94,1.5,5.63,97600000000.0,23.07
BABY,,,0.62,589880000.0,31.87
BAC,0.04,0.3,0.66,152020000000.0,21.63
BAGL,0.5,2.8,0.7,311050000.0,25.59
BAGR,,,-0.01,176130000.0,
BAH,0.4,2.0,1.5,2740000000.0,13.07
BAK,,,0.29,7160000000.0,61.19
BALT,0.04,0.8,-0.82,135370000.0,
BAM,0.6,1.5,2.02,24650000000.0,19.89
BAMM,,,-0.51,36060000.0,
BANC,0.48,3.4,0.9,256920000.00000003,15.83
BANCL,,,0.9,458010000.0,28.21
BANCP,,,0.9,470600000.0,28.99
BANF,1.24,2.2,3.4,860360000.0,16.54
BANR,0.6,1.5,2.49,759450000.0,15.67
BAP,2.6,1.9,8.33,11260000000.0,17.03
BAS,,,-1.16,537910000.0,
BASI,,,-0.29,14790000.0,
BAX,1.96,3.0,3.95,36230000000.0,16.9
BAXS,,,-1.16,55590000.0,
BBBY,,,4.8,16160000000.0,15.96
BBCN,0.3,2.0,1.07,1200000000.0,14.17
BBD,0.4,2.7,1.37,61990000000.0,10.76
BBDO,0.37,2.3,1.37,67819999999.99999,11.77
BBEP,1.92,10.1,-0.5,1890000000.0,
BBF,0.87,6.7,-1.15,86280000.0,
BBG,,,-1.22,1350000000.0,
BBGI,,,0.5,202980000.0,17.8
BBK,0.94,6.6,2.09,150590000.0,6.86
BBL,2.36,3.7,4.07,167610000000.0,15.46
BBNK,,,0.86,253890000.0,20.43
BBOX,0.36,1.2,1.83,492690000.0,16.81
BBRG,,,0.74,296830000.0,20.46
BBRY,,,-1.8,4219999999.9999995,
BBSI,0.52,0.7,2.05,536140000.0,36.78
BBT,0.92,2.6,2.15,24520000000.0,16.18
BBVA,0.42,3.5,0.75,76700000000.0,15.75
BBW,,,-2.69,125470000.0,
BBX,,,16.03,212420000.0,0.84
BBY,0.68,1.6,-1.39,14640000000.0,
BC,0.1,0.2,1.21,4130000000.0,37.45
BCA,0.44,2.6,1.5,3890000000.0,11.43
BCBP,0.48,4.5,0.52,90430000.0,20.85
BCC,,,2.87,1050000000.0,9.33
BCE,2.26,5.2,3.28,33750000000.0,13.25
BCEI,,,1.06,2069999999.9999998,48.57
BCH,3.32,3.6,6.6,14170000000.0,13.82
BCO,0.4,1.2,0.9,1490000000.0,34.72
BCOM,,,1.35,551450000.0,13.67
BCOR,,,0.79,1020000000.0,31.32
BCOV,,,-0.49,455520000.0,
BCPC,0.22,0.4,1.41,1750000000.0,41.54
BCR,0.84,0.6,1.81,10690000000.0,74.56
BCRX,,,-0.73,348200000.0,
BCS,0.24,1.4,-0.27,53770000000.0,
BCSB,,,0.56,83180000.0,46.95
BDBD,,,0.11,951880000.0,142.77
BDC,0.2,0.3,3.97,2920000000.0,16.88
BDE,,,-0.13,453920000.0,
BDGE,0.92,3.9,1.43,217960000.0,16.63
BDMS,0.88,4.6,0.42,35170000.0,45.02
BDN,0.6,4.2,-0.35,2230000000.0,
BDSI,,,-1.01,196590000.0,
BDX,1.98,1.9,7.46,20650000000.0,14.27
BEAM,0.9,1.3,2.42,11250000000.0,28.73
BEAT,,,-0.47,233780000.0,
BEAV,,,3.38,8300000000.000001,23.8
BEBE,0.1,1.7,-0.95,477440000.0,
BECN,,,1.49,1740000000.0,23.83
BEE,,,-0.34,1870000000.0,
BELFA,0.24,1.3,0.17,206850000.0,106.65
BELFB,0.28,1.5,0.17,209810000.0,108.18
BEP,1.45,5.4,-0.01,7050000000.0,
BERK,0.08,1.0,0.61,112880000.0,12.92
BERY,,,0.47,2310000000.0,42.96
BFAM,,,-0.62,2450000000.0,
BFIN,0.04,0.4,-1.48,186700000.0,
BFK,0.9,6.9,1.83,593110000.0,7.25
BFO,0.67,4.4,0.98,83990000.0,15.44
BFR,,,1.53,1390000000.0,5.06
BFS,1.44,3.0,0.43,986940000.0,113.33
BFZ,0.93,6.4,-0.89,462360000.0,
BG,1.2,1.5,-3.52,12220000000.0,
BGC,0.72,2.2,-1.46,1650000000.0,
BGCA,,,0.35,4530000000.0,76.13
BGCP,0.48,8.8,0.35,938420000.0,15.78
BGFV,0.4,2.5,1.18,359550000.0,13.94
BGG,0.48,2.6,-0.79,880720000.0,
BGMD,,,-0.85,16070000.0,
BGR,0.19,0.7,-0.61,798920000.0,
BGS,1.32,3.9,0.82,1800000000.0,41.61
BGSC,,,-0.36,19810000.0,
BGSCU,,,,54930000.0,
BGY,0.39,4.8,0.89,886510000.0,9.05
BH,,,87.53,609840000.0,4.86
BHD,0.94,7.1,1.58,93460000.0,8.39
BHE,,,1.13,1270000000.0,20.76
BHI,0.6,1.0,2.39,25730000000.0,24.28
BHK,0.91,7.0,1.6,349370000.0,8.1
BHLB,0.72,2.8,1.74,643680000.0,14.97
BHP,2.36,3.3,4.07,191880000000.0,17.7
BHY,0.51,7.3,0.95,45270000.0,7.43
BICK,,,12.0,,
BID,0.4,0.8,1.49,3600000000.0,35.4
BIDU,,,4.78,53910000000.0,32.23
BIE,0.91,6.7,1.9,45600000.0,7.2
BIG,,,2.84,2160000000.0,13.04
BIIB,,,6.75,60470000000.0,37.69
BIN,0.58,2.3,0.81,2960000000.0,31.88
BIND,,,-12.9,229400000.0,
BIO,,,4.82,3550000000.0,25.77
BIOA,,,-3.16,129990000.00000001,
BIOD,,,-1.76,48990000.0,
BIOF,,,-5.41,17790000.0,
BIOL,,,-0.15,65530000.0,
BIOS,,,-0.37,503260000.0,
BIP,1.72,4.4,0.87,5950000000.0,45.5
BIRT,,,0.11,383030000.0,74.67
BITA,,,0.66,910620000.0,34.94
BJRI,,,0.95,720360000.0,26.95
BJZ,0.62,3.9,0.32,100550000.0,49.0
BK,0.6,1.9,1.82,36560000000.0,17.48
BKCC,1.04,10.8,0.78,713460000.0,12.34
BKD,,,-0.31,3350000000.0,
BKE,0.8,1.7,3.47,2340000000.0,14.12
BKEP,0.49,5.8,0.19,203000000.0,48.12
BKEPP,,,0.19,205090000.0,48.61
BKH,1.52,2.9,3.14,2310000000.0,16.55
BKK,0.75,4.6,1.4,325030000.0,11.45
BKMU,0.12,1.8,0.22,306450000.0,30.0
BKN,0.96,6.7,1.94,247730000.0,7.43
BKS,,,-3.83,862350000.0,
BKSC,0.52,3.6,0.88,68890000.0,17.58
BKT,0.33,5.0,0.16,425850000.0,42.97
BKU,0.84,2.6,2.11,3150000000.0,14.79
BKW,0.24,1.2,0.43,7340000000.0,48.6
BKYF,0.68,2.4,2.52,218160000.0,11.5
BLC,0.32,2.3,-0.01,1420000000.0,
BLDP,,,-0.43,138950000.0,
BLDR,,,-0.62,745130000.0,
BLH,0.54,3.6,0.05,56060000.0,302.55
BLIN,,,-0.2,16610000.0,
BLK,6.72,2.2,15.95,52250000000.0,19.34
BLKB,0.48,1.2,0.35,1810000000.0,117.2
BLL,0.52,1.1,2.26,7060000000.0,21.57
BLMN,,,0.97,2990000000.0,25.01
BLMT,,,0.2,126330000.0,71.16
BLOX,,,-0.09,2350000000.0,
BLRX,,,-1.0,63100000.0,
BLT,,,0.78,612930000.0,15.9
BLUE,,,-3.32,552050000.0,
BLX,1.2,4.6,2.22,1010000000.0,11.82
BMA,,,6.38,1580000000.0,4.25
BME,0.13,0.4,6.7,260350000.00000003,5.02
BMI,0.72,1.4,1.65,767560000.0,32.39
BMO,2.84,4.1,6.34,45110000000.0,11.05
BMR,0.94,4.6,0.18,3750000000.0,114.86
BMRC,0.76,1.7,3.03,239050000.0,14.53
BMRN,,,-0.93,9520000000.0,
BMS,1.04,2.6,1.89,4120000000.0,21.15
BMTC,0.68,2.4,1.73,392170000.0,16.73
BMY,1.4,2.9,1.67,85650000000.0,31.22
BNA,0.71,7.2,1.22,341110000.0,8.13
BNCL,,,0.18,744280000.0,55.74
BNCN,0.2,1.5,0.68,350400000.0,19.48
BNDX,,,,,
BNFT,,,-1.5,1270000000.0,
BNJ,0.9,6.7,-0.87,103050000.0,
