Symbol,Company,GICS,GICSSubIndustry,HQ,DateAdded
COST,Costco Co.,Consumer Staples,Hypermarkets &amp; Super Centers,"Issaquah, Washington",
COV,Covidien plc,Health Care,Health Care Equipment &amp; Services,"Dublin, Ireland",
CPB,Campbell Soup,Consumer Staples,Packaged Foods &amp; Meats,"Camden, New Jersey",
CRM,Salesforce.com,Information Technology,Internet Software &amp; Services,"San Francisco, California",
CSC,Computer Sciences Corp.,Information Technology,IT Consulting &amp; Services,"Falls Church, Virginia",
CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",
CTAS,Cintas Corporation,Industrials,Diversified Commercial Services,"Mason, Ohio",
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting &amp; Services,"Teaneck, New Jersey",
CTXS,Citrix Systems,Information Technology,Internet Software &amp; Services,"Fort Lauderdale, Florida",
CVC,Cablevision Systems Corp.,Consumer Discretionary,Broadcasting &amp; Cable TV,"Bethpage, New York",
CVS,CVS Caremark Corp.,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",
CVX,Chevron Corp.,Energy,Integrated Oil &amp; Gas,"San Ramon, California",
D,Dominion Resources,Utilities,Multi-Utilities &amp; Unregulated Power,"Richmond, Virginia",
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",2013-09-10
DD,Du Pont (E.I.),Materials,Diversified Chemicals,"Wilmington, Delaware",
DE,Deere &amp; Co.,Industrials,Construction &amp; Farm Machinery &amp; Heavy Trucks,"Moline, Illinois",
DELL,Dell Inc.,Information Technology,Computer Hardware,"Round Rock, Texas",
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03
DGX,Quest Diagnostics,Health Care,Health Care Facilities,"Madison, New Jersey",
DHI,D. R. Horton,Consumer Discretionary,Construction,"Fort Worth, Texas",
DHR,Danaher Corp.,Industrials,Industrial Machinery,Washington D.C,
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting &amp; Cable TV,"Burbank, California",
DISCA,Discovery Communications,Consumer Discretionary,Broadcasting &amp; Cable TV,"Silver Spring, Maryland",
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts &amp; Equipment,"Gillingham, Kent",2012-12-24
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-16
DNB,Dun &amp; Bradstreet,Industrials,Data Processing Services,"Short Hills, New Jersey",
DNR,Denbury Resources Inc.,Energy,Oil &amp; Gas Exploration &amp; Production,"Plano, Texas",
DO,Diamond Offshore Drilling,Energy,Oil &amp; Gas Drilling,"Houston, Texas",
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",
DOW,Dow Chemical,Materials,Diversified Chemicals,"Midland, Michigan",
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",
DTE,DTE Energy Co.,Utilities,Multi-Utilities &amp; Unregulated Power,"Detroit, Michigan",
DTV,DirecTV,Consumer Discretionary,Broadcasting &amp; Cable TV,"El Segundo, California",
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",
DVN,Devon Energy Corp.,Energy,Oil &amp; Gas Exploration &amp; Production,"Oklahoma City, Oklahoma",
EA,Electronic Arts,Information Technology,Application Software,"Redwood City, California",
EBAY,eBay Inc.,Information Technology,Internet Software &amp; Services,"San Jose, California",
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",
ED,Consolidated Edison,Utilities,Multi-Utilities &amp; Unregulated Power,"New York, New York",
EFX,Equifax Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",
EIX,Edison Int'l,Utilities,Multi-Utilities &amp; Unregulated Power,"Rosemead, California",
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",
EMC,EMC Corp.,Information Technology,IT Consulting &amp; Services,"Hopkinton, Massachusetts",
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",
EMR,Emerson Electric,Industrials,Industrial Conglomerates,"Ferguson, Missouri",
EOG,EOG Resources,Energy,Oil &amp; Gas Exploration &amp; Production,"Houston, Texas",
EQR,Equity Residential,Financials,REITs,"Chicago, Illinois",
EQT,EQT Corporation,Energy,,"Pittsburgh, Pennsylvania",
ESRX,Express Scripts,Health Care,Health Care Distributors &amp; Services,"Cool Valley, Missouri",
ESV,Ensco plc,Energy,Oil &amp; Gas Drilling,"London, United Kingdom",2012-07-30
ETFC,E-Trade,Financials,Diversified Financial Services,"New York, New York",
ETN,Eaton Corp.,Industrials,Industrial Conglomerates,"Cleveland, Ohio",
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",
EW,Edwards Lifesciences,Health Care,Health Care Equipment &amp; Services,"Irvine, California",
EXC,Exelon Corp.,Utilities,Multi-Utilities &amp; Unregulated Power,"Chicago, Illinois",
EXPD,Expeditors Int'l,Industrials,Air Freight &amp; Logistics,"Seattle, Washington",
EXPE,Expedia Inc.,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines","Bellevue, Washington",
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",
FCX,Freeport-McMoran Cp &amp; Gld,Materials,Diversified Metals &amp; Mining,"Phoenix, Arizona",
FDO,Family Dollar Stores,Consumer Discretionary,General Merchandise Stores,"Matthews, North Carolina",
FDX,FedEx Corporation,Industrials,Air Freight &amp; Logistics,"Memphis, Tennessee",
FE,FirstEnergy Corp,Utilities,Multi-Utilities &amp; Unregulated Power,"Akron, Ohio",
FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",
FIS,Fidelity National Information Services,Information Technology,Internet Software &amp; Services,"Jacksonville, Florida",
FISV,Fiserv Inc,Information Technology,Internet Software &amp; Services,"Brookfield, Wisconsin",
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",
FLIR,FLIR Systems,Industrials,Aerospace &amp; Defense,"Wilsonville, Oregon",
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas",
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",
FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",
FOSL,"Fossil, Inc.",Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods","Richardson, Texas",
FOXA,Twenty-First Century Fox,Consumer Discretionary,Publishing,"New York, New York",2013-07-01
FRX,Forest Laboratories,Health Care,Pharmaceuticals,"New York, New York",
FSLR,First Solar Inc,Industrials,Heavy Electrical Equipment,"Tempe, Arizona",
FTI,FMC Technologies Inc.,Energy,Oil &amp; Gas Equipment &amp; Services,"Houston, Texas",
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",
GAS,AGL Resources Inc.,Utilities,Gas Utilities,"Atlanta, Georgia",
GCI,Gannett Co.,Consumer Discretionary,Publishing,"McLean, Virginia",
GD,General Dynamics,Industrials,Aerospace &amp; Defense,"Falls Church, Virginia",
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",
GIS,General Mills,Consumer Staples,Packaged Foods &amp; Meats,"Golden Valley, Minnesota",
GLW,Corning Inc.,Industrials,Construction &amp; Engineering,"Corning, New York",
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06
GME,GameStop Corp.,Consumer Discretionary,Specialty Stores,"Grapevine, Texas",
GNW,Genworth Financial Inc.,Financials,Life &amp; Health Insurance,"Richmond, Virginia",
GOOG,Google Inc.,Information Technology,Internet Software &amp; Services,"Mountain View, California",
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12
GS,Goldman Sachs Group,Financials,Diversified Financial Services,"New York, New York",
GT,Goodyear Tire &amp; Rubber,Consumer Discretionary,Tires &amp; Rubber,"Akron, Ohio",
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,"Lake Forest, Illinois",
HAL,Halliburton Co.,Energy,Oil &amp; Gas Equipment &amp; Services,"Houston, Texas",
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",
HBAN,Huntington Bancshares,Financials,Banks,"Columbus, Ohio",
HCBK,Hudson City Bancorp,Financials,Banks,"Paramus, New Jersey",
HCN,Health Care REIT,Financials,REITs,"Toledo, Ohio",
HCP,HCP Inc.,Financials,REITs,"Long Beach, California",
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Cobb County, Georgia",
HES,Hess Corporation,Energy,Integrated Oil &amp; Gas,"New York, New York",
HIG,Hartford Financial Svc.Gp.,Financials,Property &amp; Casualty Insurance,"Hartford, Connecticut",
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",
HOT,Starwood Hotels &amp; Resorts,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines","White Plains, New York",
HP,Helmerich &amp; Payne,Energy,Oil &amp; Gas Drilling,"Tulsa, Oklahoma",
HPQ,Hewlett-Packard,Information Technology,Computer Hardware,"Palo Alto, California",
HRB,Block H&amp;R,Financials,Consumer Finance,"Kansas City, Missouri",
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods &amp; Meats,"Austin, Minnesota",
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,"Melbourne, Florida",
HSP,Hospira Inc.,Health Care,Health Care Equipment &amp; Services,"Lake Forest, Illinois",
HST,Host Hotels &amp; Resorts,Financials,REITs,"Bethesda, Maryland",
HSY,The Hershey Company,Consumer Staples,Packaged Foods &amp; Meats,"Hershey, Pennsylvania",
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",
IBM,International Bus. Machines,Information Technology,IT Consulting &amp; Services,"Armonk, New York",
ICE,IntercontinentalExchange Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",
IFF,Intl Flavors &amp; Fragrances,Materials,Specialty Chemicals,"New York, New York",
IGT,International Game Technology,Consumer Discretionary,Leisure Products,"Reno, Nevada",
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",
INTU,Intuit Inc.,Information Technology,Internet Software &amp; Services,"Mountain View, California",2000-12-05
IP,International Paper,Materials,Paper Products,"Memphis, Tennessee",
IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York",
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,"Dublin, Ireland",
IRM,Iron Mountain Incorporated,Industrials,Data Processing Services,"Boston, Massachusetts",
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment &amp; Services,"Sunnyvale, California",
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",
IVZ,Invesco Ltd.,Financials,Diversified Financial Services,"Atlanta, Georgia",
JBL,Jabil Circuit,Information Technology,IT Consulting &amp; Services,"St. Petersburg, Florida",
JCI,Johnson Controls,Consumer Discretionary,Auto Parts &amp; Equipment,"Milwaukee, Wisconsin",
JCP,Penney (J.C.),Consumer Discretionary,Department Stores,"Plano, Texas",
JDSU,JDS Uniphase Corp.,Information Technology,Telecommunications Equipment,"Milpitas, California",
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,"Pasadena, California",
JNJ,Johnson &amp; Johnson,Health Care,Health Care Equipment &amp; Services,"New Brunswick, New Jersey",
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",
JOY,Joy Global Inc.,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",
JPM,JPMorgan Chase &amp; Co.,Financials,Banks,"New York, New York",
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",
K,Kellogg Co.,Consumer Staples,Packaged Foods &amp; Meats,"Battle Creek, Michigan",
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",
KMI,Kinder Morgan,Energy,Oil &amp; Gas Refining &amp; Marketing &amp; Transportation,"Houston, Texas",2012-05-24
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",
KO,The Coca Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",
KRFT,Kraft Foods Group,Consumer Staples,Packaged Foods &amp; Meats,"Northfield, Illinois",2012-10-02
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",2013-05-24
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",
LEG,Leggett &amp; Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",
LIFE,Life Technologies,Health Care,Biotechnology,"Carlsbad, California",
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",
LLY,Lilly (Eli) &amp; Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",
LM,Legg Mason,Financials,Diversified Financial Services,"Baltimore, Maryland",
LMT,Lockheed Martin Corp.,Industrials,Aerospace &amp; Defense,"Bethesda, Maryland",
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",
LO,Lorillard Inc.,Consumer Staples,Tobacco,"Greensboro, North Carolina",
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",
LSI,LSI Corporation,Information Technology,Semiconductors,"Milpitas, California",
LTD,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",2012-09-05
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",
MA,Mastercard Inc.,Information Technology,Internet Software &amp; Services,"Harrison, New York",
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California",2013-05-09
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines","Bethesda, Maryland",
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",
MCK,McKesson Corp.,Health Care,Health Care Distributors &amp; Services,"San Francisco, California",
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York",
MDLZ,Mondelez International,Consumer Staples,Packaged Foods &amp; Meats,"Northfield, Illinois",2012-10-02
MDT,Medtronic Inc.,Health Care,Health Care Equipment &amp; Services,"Fridley, Minnesota",
MET,MetLife Inc.,Financials,Life &amp; Health Insurance,"New York, New York",
MHFI,McGraw Hill Financial,Financials,Diversified Financial Services,"New York, New York",
MJN,Mead Johnson,Consumer Staples,Packaged Foods &amp; Meats,"Glenview, Illinois",
MKC,McCormick &amp; Co.,Consumer Staples,Packaged Foods &amp; Meats,"Sparks, Maryland",
MMC,Marsh &amp; McLennan,Financials,Insurance Brokers,"New York, New York",
MMM,3M Company,Industrials,Industrial Conglomerates,"St Paul, Minnesota",
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",
MOLX,Molex Inc.,Information Technology,Electronic Equipment &amp; Instruments,"Lisle, Illinois",
MON,Monsanto Co.,Materials,Fertilizers &amp; Agricultural Chemicals,"Creve Coeur, Missouri",
MOS,The Mosaic Company,Materials,Fertilizers &amp; Agricultural Chemicals,"Plymouth, Minnesota",
MPC,Marathon Petroleum,Energy,Oil &amp; Gas Refining &amp; Marketing &amp; Transportation,"Findlay, Ohio",
MRK,Merck &amp; Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",
MRO,Marathon Oil Corp.,Energy,Oil &amp; Gas Exploration &amp; Production,"Houston, Texas",
MS,Morgan Stanley,Financials,Diversified Financial Services,"New York, New York",
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",
MTB,M&amp;T Bank Corp.,Financials,Banks,"Buffalo, New York",
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",
MUR,Murphy Oil,Energy,Integrated Oil &amp; Gas,"El Dorado, Arkansas",
MWV,MeadWestvaco Corporation,Materials,Paper Packaging,"Richmond, Virginia",
MYL,Mylan Inc.,Health Care,Pharmaceuticals,"Canonsburg, Pennsylvania",
NBL,Noble Energy Inc,Energy,Oil &amp; Gas Exploration &amp; Production,"Houston, Texas",
NBR,Nabors Industries Ltd.,Energy,Oil &amp; Gas Drilling,"Hamilton, Bermuda",
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York",
NE,Noble Corp,Energy,Oil &amp; Gas Drilling,"Geneva, Switzerland",
